num	color	hue	tone	r	g	b
22	r/v	r	v	231	47	39
23	r/s	r	s	207	46	49
24	r/b	r	b	231	108	86
25	r/p	r	p	233	163	144
26	r/vp	r	vp	236	217	202
27	r/lgr	r	lgr	213	182	166
28	r/l	r	l	211	142	110
29	r/gr	r	gr	171	131	115
30	r/dl	r	dl	162	88	61
31	r/dp	r	dp	172	36	48
32	r/dk	r	dk	116	47	50
33	r/dgr	r	dgr	79	45	43
34	yr/v	yr	v	238	113	25
35	yr/s	yr	s	226	132	45
36	yr/b	yr	b	241	176	102
37	yr/p	yr	p	242	178	103
38	yr/vp	yr	vp	245	223	181
39	yr/lgr	yr	lgr	218	196	148
40	yr/l	yr	l	215	145	96
41	yr/gr	yr	gr	158	128	110
42	yr/dl	yr	dl	167	100	67
43	yr/dp	yr	dp	169	87	49
44	yr/dk	yr	dk	115	63	44
45	yr/dgr	yr	dgr	85	55	43
46	y/v	y	v	225	200	8
47	y/s	y	s	227	189	28
48	y/b	y	b	225	228	15
49	y/p	y	p	225	236	79
50	y/vp	y	vp	249	239	189
51	y/lgr	y	lgr	233	227	143
52	y/l	y	l	255	203	88
53	y/gr	y	gr	148	133	105
54	y/dl	y	dl	139	117	65
55	y/dp	y	dp	156	137	37
56	y/dk	y	dk	103	91	44
57	y/dgr	y	dgr	75	63	45
58	gy/v	gy	v	170	198	27
59	gy/s	gy	s	162	179	36
60	gy/b	gy	b	169	199	35
61	gy/p	gy	p	219	220	93
62	gy/vp	gy	vp	228	235	191
63	gy/lgr	gy	lgr	209	213	165
64	gy/l	gy	l	195	202	101
65	gy/gr	gy	gr	144	135	96
66	gy/dl	gy	dl	109	116	73
67	gy/dp	gy	dp	91	132	47
68	gy/dk	gy	dk	54	88	48
69	gy/dgr	gy	dgr	44	60	49
70	g/v	g	v	19	166	50
71	g/s	g	s	18	154	47
72	g/b	g	b	88	171	45
73	g/p	g	p	155	196	113
74	g/vp	g	vp	221	232	207
75	g/lgr	g	lgr	179	202	157
76	g/l	g	l	141	188	90
77	g/gr	g	gr	143	162	121
78	g/dl	g	dl	88	126	61
79	g/dp	g	dp	20	114	48
80	g/dk	g	dk	30	98	50
81	g/dgr	g	dgr	34	62	51
82	bg/v	bg	v	4	148	87
83	bg/s	bg	s	6	134	84
84	bg/b	bg	b	43	151	89
85	bg/p	bg	p	146	198	131
86	bg/vp	bg	vp	209	234	211
87	bg/lgr	bg	lgr	166	201	163
88	bg/l	bg	l	140	195	110
89	bg/gr	bg	gr	122	165	123
90	bg/dl	bg	dl	39	122	62
91	bg/dp	bg	dp	23	106	43
92	bg/dk	bg	dk	27	86	49
93	bg/dgr	bg	dgr	31	56	45
94	b/v	b	v	1	134	141
95	b/s	b	s	3	130	122
96	b/b	b	b	0	147	159
97	b/p	b	p	126	188	209
98	b/vp	b	vp	194	222	242
99	b/lgr	b	lgr	127	175	166
100	b/l	b	l	117	173	169
101	b/gr	b	gr	130	154	145
102	b/dl	b	dl	24	89	63
103	b/dp	b	dp	20	88	60
104	b/dk	b	dk	18	83	65
105	b/dgr	b	dgr	29	60	47
106	pb/v	pb	v	3	86	155
107	pb/s	pb	s	6	113	148
108	pb/b	pb	b	59	130	157
109	pb/p	pb	p	147	184	213
110	pb/vp	pb	vp	203	215	232
111	pb/lgr	pb	lgr	165	184	199
112	pb/l	pb	l	138	166	187
113	pb/gr	pb	gr	133	154	153
114	pb/dl	pb	dl	53	109	98
115	pb/dp	pb	dp	8	87	107
116	pb/dk	pb	dk	16	76	84
117	pb/dgr	pb	dgr	25	62	63
118	p/v	p	v	46	20	141
119	p/s	p	s	92	104	163
120	p/b	p	b	178	137	166
121	p/p	p	p	197	188	213
122	p/vp	p	vp	224	218	230
123	p/lgr	p	lgr	184	190	189
124	p/l	p	l	170	165	199
125	p/gr	p	gr	151	150	139
126	p/dl	p	dl	44	77	143
127	p/dp	p	dp	58	55	119
128	p/dk	p	dk	40	57	103
129	p/dgr	p	dgr	34	54	68
130	rp/v	rp	v	204	63	92
131	rp/s	rp	s	175	92	87
132	rp/b	rp	b	209	100	109
133	rp/p	rp	p	218	176	176
134	rp/vp	rp	vp	235	219	224
135	rp/lgr	rp	lgr	206	185	197
136	rp/l	rp	l	205	154	149
137	rp/gr	rp	gr	160	147	131
138	rp/dl	rp	dl	115	71	79
139	rp/dp	rp	dp	111	61	56
140	rp/dk	rp	dk	88	60	50
141	rp/dgr	rp	dgr	53	52	48
142	n1.5	n	1.5	244	244	244
143	n2	n	2	236	236	236
144	n3	n	3	206	206	206
145	n4	n	4	180	180	180
146	n5	n	5	152	152	152
147	n6	n	6	126	126	126
148	n7	n	7	86	86	86
149	n8	n	8	60	60	60
150	n9	n	9	38	38	38
151	n9.5	n	9.5	10	10	10
